,0
Diabetes,87.16538461538461
blood pressure,73.51153846153846
weight loss,64.12692307692308
diabetes type,15.82580502830502
PCOS,14.575216727716725
metformin,14.156639194139187
neuropathy,13.79722596847596
body weight,10.28128829503829
cellulitis,10.237121521640752
Type 2 diabetes,9.421024671658158
PPG,8.13438615934091
diabetes symptoms,6.775457476166587
Type 1 diabetes,6.310221761019271
hypoglycemia,5.512969807969805
Gestational diabetes,4.545991346382274
bariatric surgery,4.2861339005011425
blood glucose,3.9423076923076925
gastroparesis,3.50332410244151
physical activity,3.3195722674065795
high glucose,2.634948407656451
diabetes diet,2.5997910535267295
prediabetes,2.5935623422775054
Lantus,2.5568457352858776
peripheral neuropathy,2.544355520429306
gangrene,2.5212163061440442
glycemic index,2.434202600326304
diabetic diet,2.3860702043439512
Diabetes Mellitus,2.245921072496191
Januvia,2.1986411433440765
Humalog,1.6761233242563767
diabetes causes,1.6653846153846155
fasting glucose,1.6273524832664366
Novolog,1.5384760343891448
body mass index,1.468618432849203
insulin pump,1.4311800874565876
diabetic foot,1.3058710721089437
metabolic syndrome,1.2560793987203605
glucose meter,1.2559664782538378
ESRD,1.2304056190336476
diabetic neuropathy,1.2156105648802784
diabetes treatment,1.2139440822567786
Tresiba,1.0997038169906743
Levemir,1.0191264172472903
pioglitazone,0.9700379025205359
glucose monitor,0.9595148875138079
diabetes type 2 symptoms,0.95411968537484
diabetes medication,0.902343452875823
ACTOS,0.8935930861984555
diabetes cure,0.8923076923076924
Invokana,0.8907046153218414
acromegaly,0.8437835354618639
hirsutism,0.8307332545778855
diabetic retinopathy,0.7839259615415158
urine glucose,0.755368692393579
HbA1c,0.7358910583428744
Lispro,0.7220437555797565
Toujeo,0.7185283915458647
about diabetes,0.7027819349898459
Humulin,0.6888967225116677
Novolin,0.6803908471191713
Acanthosis nigricans,0.6482993502224272
Tradjenta,0.6369118592436712
type I diabetes,0.6236116087480704
Diabetes medicine,0.6149967274426835
Glargine,0.6096789098577126
glucose tolerance test,0.5942013825057583
diabetes diagnosis,0.5908682500272517
diabetes type 1 symptoms,0.5729367108621565
NPH insulin,0.4668990393857793
Regular insulin,0.4655895043650382
insulin injection,0.4602820020106755
normal blood glucose levels,0.45348463507851805
End stage renal disease,0.436380977473743
artificial sweetener,0.43128271245512545
diabetes exercise,0.42367530832053096
Aspart,0.41861369375681573
insulin syringe,0.38540858237827363
Glucophage,0.38062105852461914
insulin needles,0.3726654656825651
diabetes recipes,0.37038549458197967
Sitagliptin,0.35641228812535425
diabetes testing,0.3435889374459344
diabetic coma,0.3408894227919965
diabetes prevention,0.33588166117170576
plasma concentration,0.33392216021965554
long acting insulin,0.31173992673992706
Welchol,0.30865757707892555
diabetes surgery,0.29118529986094327
onset diabetes,0.27477329266571215
SGLT2 inhibitors,0.2664241665995927
alogliptin,0.26103360583914254
plasma glucose,0.2600107443746761
FPG,0.256202571554264
FlexPen,0.25541849024085395
polycystic ovarian syndrome,0.25384615384615383
diabetes risk factors,0.25120279426994824
diabetes study,0.24342376365203114
increased urination,0.24031440781440744
Autonomic Neuropathy,0.2317465349769156
diabetes lose weight ,0.22550449232196
